Char,Unicode (hex),Decimal,Learning Order
âπ,U+97F3,38899,1
âC,U+97FB,38907,7
ãø,U+97FF,38911,7
í∏,U+9802,38914,6
çÄ,U+9805,38917,7
èá,U+9806,38918,4
óa,U+9810,38928,5
äÊ,U+9811,38929,7
î–,U+9812,38930,7
óÃ,U+9818,38936,5
ì™,U+982D,38957,2
ïp,U+983B,38971,7
óä,U+983C,38972,7
ëË,U+984C,38988,3
äz,U+984D,38989,5
äÁ,U+9854,38996,2
å∞,U+9855,38997,7
äË,U+9858,39000,4
óﬁ,U+985E,39006,4
å⁄,U+9867,39015,7
ïó,U+98A8,39080,2
îÚ,U+98DB,39131,4
êH,U+98DF,39135,2
ãQ,U+98E2,39138,7
î—,U+98EF,39151,4
à˘,U+98F2,39154,3
éî,U+98FC,39164,5
ñO,U+98FD,39165,7
è¸,U+98FE,39166,7
ó{,U+990A,39178,4
âÏ,U+9913,39187,7
äŸ,U+9928,39208,3
éÒ,U+9996,39318,2
çÅ,U+9999,39321,7
în,U+99AC,39340,2
ë ,U+99C4,39364,7
âw,U+99C5,39365,3
ãÏ,U+99C6,39366,7
íì,U+99D0,39376,7
ãR,U+9A0E,39438,7
ëõ,U+9A12,39442,7
å±,U+9A13,39443,4
ì´,U+9A30,39472,7
ã¡,U+9A5A,39514,7
çú,U+9AA8,39592,6
êë,U+9AC4,39620,7
çÇ,U+9AD8,39640,2
îØ,U+9AEA,39658,7
ãS,U+9B3C,39740,7
ç∞,U+9B42,39746,7
ñ£,U+9B45,39749,7
ñÇ,U+9B54,39764,7
ãõ,U+9B5A,39770,2
ëN,U+9BAE,39854,7
å~,U+9BE8,39912,7
íπ,U+9CE5,40165,2
ñ¬,U+9CF4,40180,2
å{,U+9D8F,40335,7
óÌ,U+9E97,40599,7
îû,U+9EA6,40614,2
ñÉ,U+9EBB,40635,7
â©,U+9EC4,40644,2
çï,U+9ED2,40658,2
ñŸ,U+9ED9,40665,7
å€,U+9F13,40723,7
ï@,U+9F3B,40763,3
óÓ,U+9F62,40802,7
